merchantRef,transaction_id,amount,status,Date,Time
TXN086319300868,BL1125081367,36513.62,successful,2024-08-04,01:51:06
TXN661757503098,BL8521563744,41600.11,successful,2025-04-30,16:26:37
TXN507895169156,BL6562702780,48221.71,successful,2024-02-14,23:48:24
TXN026219547810,BL5043260298,21609.45,failed,2024-01-25,09:34:49
TXN066078115114,BL2843828913,43736.85,failed,2024-12-28,17:58:23
TXN509899814240,BL3358480789,19010.76,failed,2025-09-19,14:37:41
TXN723623704990,BL1536778129,10736.4,successful,2024-07-21,13:01:39
TXN022453985659,BL2575361821,5268.97,successful,2025-12-25,21:12:59
TXN627540089585,BL6165822720,7489.88,successful,2024-09-16,01:56:41
TXN990366358979,BL5597766027,11913.19,successful,2024-08-27,10:21:20
TXN807398882718,BL4874156511,42943.8,failed,2025-09-13,06:58:32
TXN388263207356,BL6920561967,42198.69,failed,2025-09-26,06:16:41
TXN660923810967,BL5364401177,22825.27,failed,2024-03-06,20:42:19
TXN675620223512,BL5403227723,34728.1,successful,2025-08-06,22:08:15
TXN968747928544,BL9431481198,36578.21,successful,2025-01-15,18:01:28
TXN924756343432,BL3629079656,14054.96,successful,2025-10-23,13:05:09
TXN410948406015,BL9627118250,15261.39,successful,2024-08-08,20:28:23
TXN251464022802,BL6805617718,13301.28,successful,2025-05-27,23:16:26
TXN192744441157,BL2208969968,6911.77,successful,2024-04-01,05:43:54
TXN907231557108,BL6858340015,31023.55,successful,2024-05-09,05:16:03
TXN264684250992,BL9865241239,48105.25,successful,2025-12-10,00:22:05
TXN897282127761,BL8644177490,4948.48,successful,2025-04-16,00:14:13
TXN802690397285,BL7017253884,29360.52,failed,2024-04-04,21:13:29
TXN757475159078,BL8172274391,26120.42,successful,2024-07-25,02:48:33
TXN446490060265,BL5657089996,16326.75,successful,2024-01-25,04:41:38
TXN296400473109,BL8161250775,28128.0,successful,2024-11-27,11:27:29
TXN889866098217,BL0663552775,15518.34,successful,2024-08-04,08:53:23
TXN160790534133,BL9906734471,47076.23,successful,2024-01-05,17:49:20
TXN611211709645,BL0787309573,29015.46,failed,2025-07-18,23:19:54
TXN328961069366,BL3641395483,6534.69,successful,2024-03-14,09:43:10
TXN210817880371,BL6258300502,18898.32,successful,2025-08-18,02:11:15
TXN697037967722,BL0565312628,48283.27,successful,2025-10-07,17:23:47
TXN964721266084,BL4389018213,26849.08,successful,2025-10-10,12:50:30
TXN177266921017,BL9115375959,49863.39,failed,2024-10-27,13:58:16
TXN385603975780,BL8617484724,48621.75,successful,2024-10-07,07:36:07
TXN840342502586,BL2213497377,14358.84,successful,2025-02-03,19:10:13
TXN877345150572,BL6022377149,49455.63,successful,2024-03-24,11:53:41
TXN439455686824,BL9899180444,47871.14,pending,2024-09-09,11:21:52
TXN922273397216,BL6051554360,19046.74,successful,2024-08-19,20:25:42
TXN499980519295,BL9730429285,24746.23,successful,2025-10-11,11:57:40
TXN611322279370,BL9735358652,32718.8,successful,2024-09-11,16:59:54
TXN020204750894,BL5879314056,14425.83,successful,2025-09-18,17:59:45
TXN964938936656,BL4791016721,17453.72,successful,2024-04-15,04:34:51
TXN198794743241,BL1859270822,9505.17,successful,2025-02-21,07:13:32
TXN404453230435,BL0751412374,41487.37,successful,2025-07-03,14:11:24
TXN681775483909,BL7036068886,48107.67,successful,2024-10-19,22:55:15
TXN262957353254,BL2850341749,5020.55,successful,2025-08-08,21:44:50
TXN374774731518,BL1468515489,49517.14,failed,2025-05-23,10:46:37
