txnRef,Date,Time,service_type,amount,status
TXN117550026577,2024-01-20,10:14:08,airtime,21034.04,failed
TXN268310679883,2025-12-17,08:50:02,airtime,22725.17,successful
TXN676065242962,2024-05-06,08:05:40,data,16281.71,successful
TXN329500167403,2025-08-03,05:21:04,airtime,49806.46,failed
TXN677641207030,2024-07-24,23:44:39,electricity,23891.75,successful
TXN455374884941,2024-04-04,06:17:37,cable,43088.6,successful
TXN542495687303,2024-02-19,21:18:48,data,37698.41,successful
TXN778424367789,2025-10-11,03:06:55,cable,49038.03,successful
TXN604812343829,2025-12-05,10:22:58,airtime,21136.08,successful
TXN167189103693,2024-12-27,04:51:59,cable,35779.23,successful
TXN512452474024,2025-11-14,14:23:29,airtime,12240.93,successful
TXN395343273796,2024-10-13,15:02:27,airtime,9657.89,successful
TXN823371002967,2024-08-02,18:19:47,data,5219.12,pending
TXN725448936679,2024-04-02,00:06:08,electricity,10468.62,successful
TXN587602685078,2025-01-23,17:28:55,cable,28854.72,successful
TXN429489443114,2024-05-16,01:47:35,data,24823.9,successful
TXN946196215509,2024-06-07,02:36:06,data,45655.2,successful
TXN845474614936,2024-04-08,01:24:15,electricity,32526.85,failed
TXN684562622097,2025-10-24,00:47:47,cable,35224.15,failed
TXN342559296256,2024-12-20,20:02:18,airtime,37258.98,successful
TXN031934278352,2024-01-31,14:53:33,airtime,8310.77,successful
TXN319198799837,2025-01-09,06:17:46,cable,794.54,successful
TXN009125339655,2024-08-22,17:14:00,cable,36357.3,successful
TXN752995718137,2024-06-29,23:24:56,data,29483.76,successful
TXN607867724234,2025-02-16,02:17:58,electricity,20857.88,successful
TXN949023151483,2024-11-15,02:01:46,airtime,27857.65,failed
TXN800985574103,2025-06-02,21:19:24,airtime,40085.98,successful
TXN825533331515,2025-10-08,06:05:28,airtime,45305.54,successful
TXN610432053408,2025-11-16,02:34:21,airtime,3928.88,failed
TXN631799906503,2024-03-06,19:16:51,data,47563.35,successful
TXN207376773058,2024-02-03,19:32:30,cable,8836.95,pending
TXN807420109595,2024-12-26,21:11:58,data,12740.36,successful
TXN783138783944,2024-05-28,10:25:37,data,46223.09,successful
TXN990638691670,2024-09-30,20:10:57,cable,3454.94,successful
TXN566937553621,2024-10-11,12:51:38,data,36810.18,successful
TXN752217713297,2025-10-18,17:39:40,data,11913.14,successful
TXN387619490111,2024-12-15,12:08:11,airtime,16200.77,successful
TXN265135519167,2024-09-25,18:20:26,data,30296.43,successful
TXN004426377891,2025-06-16,01:09:26,data,18589.96,successful
TXN760497757516,2025-03-29,08:59:52,electricity,31024.82,successful
TXN822734242596,2025-09-27,15:39:58,electricity,6949.92,failed
TXN837670326166,2025-10-23,00:54:24,cable,20333.97,successful
TXN345212954133,2024-12-30,15:56:27,electricity,41684.8,failed
TXN540752564919,2025-05-27,01:57:09,cable,26266.83,successful
TXN962561802188,2025-03-16,05:37:24,airtime,46450.86,successful
TXN221122739746,2025-06-16,07:13:00,airtime,22947.3,successful
TXN697327391917,2024-09-04,21:09:37,electricity,1443.11,successful
TXN646788555192,2024-06-12,00:24:58,data,28679.51,failed
TXN077476844588,2025-05-02,15:16:48,airtime,4747.77,successful
TXN739843251878,2025-05-08,02:17:24,electricity,38136.48,failed
TXN120566768635,2024-09-30,01:06:03,data,25525.18,successful
TXN700200756547,2024-05-14,04:40:26,airtime,4213.15,failed
TXN293851602504,2024-01-28,11:13:49,electricity,43861.86,successful
TXN985739001805,2024-04-20,14:02:10,electricity,21805.65,successful
TXN387732027511,2024-07-02,21:44:47,electricity,23356.15,successful
TXN403467295037,2025-01-22,12:01:05,airtime,24036.25,failed
TXN132870957991,2024-09-24,05:15:48,data,32877.53,failed
TXN551984340225,2025-06-30,09:18:47,airtime,134.11,failed
TXN974643758636,2024-09-18,09:57:22,airtime,40741.27,successful
TXN291807684220,2024-04-19,05:47:07,cable,12907.23,successful
TXN213810993987,2024-01-26,22:51:50,data,21623.03,successful
TXN121677222058,2025-04-16,17:13:16,airtime,7764.14,successful
TXN526432326961,2025-10-16,23:57:22,airtime,25912.95,successful
TXN292051773676,2025-09-22,16:55:57,cable,29736.81,successful
TXN402376755963,2025-01-10,05:15:40,cable,26202.85,successful
TXN236385906188,2024-03-14,23:26:49,data,43483.84,successful
TXN340603675318,2024-09-14,20:25:22,data,24671.86,successful
TXN619347714985,2025-07-30,17:24:34,data,38630.04,successful
TXN962623696956,2024-08-20,04:08:57,data,16186.83,successful
TXN034769072884,2024-07-03,13:06:07,airtime,11354.87,successful
TXN567921611534,2025-07-05,02:53:22,airtime,27874.27,successful
TXN542630097562,2025-08-21,11:03:36,airtime,31512.77,successful
TXN062159362201,2025-03-02,07:19:38,electricity,24344.48,successful
TXN351688152800,2024-12-25,12:07:22,cable,1029.65,successful
TXN202856138581,2024-01-25,05:30:19,airtime,25106.05,successful
TXN533580292483,2024-07-31,10:19:35,airtime,39653.61,successful
TXN051605021955,2025-05-17,17:47:13,airtime,1029.14,successful
TXN264424157651,2025-05-28,23:49:22,data,34311.0,failed
TXN549573181279,2025-03-09,01:43:21,airtime,5103.9,successful
TXN660368846023,2025-09-02,13:37:00,airtime,30490.54,successful
TXN575986426820,2025-12-23,21:13:44,data,30015.79,successful
TXN829440155531,2025-03-10,06:38:22,data,25713.01,successful
TXN581874041865,2025-07-13,20:58:41,data,15854.79,successful
TXN541812277230,2025-08-29,14:24:53,cable,46846.0,successful
TXN657662652101,2024-06-20,08:08:29,data,5606.78,successful
TXN863630981671,2025-01-27,23:44:19,data,14228.14,failed
TXN683253573490,2024-09-09,03:59:35,airtime,1829.68,successful
TXN535361699750,2024-01-09,21:09:14,airtime,21653.59,successful
TXN492617072618,2025-09-15,13:12:16,data,14455.49,successful
TXN276060328680,2024-02-03,18:33:49,airtime,43383.78,successful
TXN794501957093,2024-06-28,13:18:01,airtime,24547.65,successful
TXN339920239999,2024-01-15,06:29:00,data,11356.58,successful
TXN103993786711,2024-05-23,00:31:55,data,6664.14,successful
TXN825696474882,2025-07-02,23:48:44,cable,14595.35,successful
TXN183351611738,2025-11-20,18:04:15,data,35521.02,successful
