txnRef,Date,Time,service_type,amount,status
TXN840957248611,2024-02-13,10:45:54,data,37274.95,successful
TXN187732107797,2025-03-05,16:53:05,airtime,25433.32,successful
TXN363842005507,2025-08-09,15:10:08,cable,3037.8,successful
TXN580084955006,2025-02-16,12:54:49,cable,28304.82,successful
TXN712236852906,2024-07-24,10:00:12,cable,41484.47,failed
TXN063387334421,2024-01-02,07:31:44,data,21080.27,successful
TXN350245644249,2025-06-10,02:07:18,cable,39821.64,successful
TXN331688872864,2025-03-23,03:17:06,cable,27914.55,successful
TXN092090028624,2024-12-31,07:09:20,data,5808.03,failed
TXN569801375216,2025-04-03,02:28:40,data,35016.71,successful
TXN339459654137,2024-11-07,00:58:32,airtime,31307.9,successful
TXN700446425316,2025-11-17,02:41:51,airtime,29697.4,successful
TXN902977214415,2024-08-27,13:21:23,airtime,11582.52,successful
TXN545784863410,2025-10-26,07:49:39,cable,5264.74,successful
TXN124451324357,2024-09-23,18:08:41,cable,32400.54,successful
TXN994235988126,2025-12-03,03:18:21,data,43718.44,successful
TXN729149243005,2024-03-20,16:24:51,airtime,11865.33,successful
TXN986712861740,2024-10-18,04:52:50,electricity,4053.37,successful
TXN203516539575,2025-03-22,15:40:04,airtime,1114.68,successful
TXN068530636463,2025-09-14,06:29:17,airtime,2213.52,successful
TXN006567464629,2025-03-13,18:36:31,data,24198.95,successful
TXN373971550134,2024-04-02,06:48:10,airtime,22903.73,pending
TXN619723857283,2025-02-04,09:43:46,airtime,33722.94,successful
TXN910316479870,2024-04-24,18:44:40,data,6990.32,successful
TXN656047170594,2025-03-31,19:19:07,airtime,46758.1,successful
TXN220762780948,2025-01-05,20:17:32,cable,46702.74,successful
TXN169876693294,2024-02-18,06:05:00,airtime,22803.44,successful
TXN135125058454,2025-12-02,07:03:25,data,2981.07,successful
TXN669820546820,2025-08-17,13:46:16,cable,22004.24,successful
TXN929557828954,2025-08-08,22:46:18,airtime,13830.18,successful
TXN449967341374,2025-04-04,13:28:35,airtime,42482.11,successful
TXN080016012406,2025-02-10,23:02:13,electricity,46701.8,successful
TXN268744626770,2025-07-04,04:55:11,data,49535.96,successful
TXN213135544599,2024-03-06,19:53:40,airtime,8744.42,successful
TXN424762802808,2025-02-25,00:25:36,electricity,5957.56,successful
TXN740267113283,2025-02-03,13:23:30,electricity,7194.36,successful
TXN913362670412,2024-07-13,11:36:01,airtime,34031.14,successful
TXN561327964281,2025-06-09,22:45:06,airtime,6245.55,successful
TXN723260803338,2024-08-17,13:18:12,data,21101.09,successful
TXN352853686067,2025-04-23,11:57:06,airtime,42338.76,successful
TXN290447248108,2024-11-03,18:32:19,electricity,49130.11,successful
TXN188017115307,2024-06-05,11:34:06,cable,33140.76,successful
TXN310428516068,2024-10-28,00:02:05,airtime,20757.93,successful
TXN845848409759,2024-06-25,17:09:02,data,40042.47,successful
