transaction_id,amount,status,settlement_date
BL1125081367,36513.62,successful,2024-08-04
BL8521563744,41600.11,failed,2025-04-30
BL5043260298,21609.45,failed,2024-01-25
BL2843828913,43736.85,failed,2024-12-28
BL2575361821,5268.97,successful,2025-12-25
BL6165822720,7489.88,successful,2024-09-16
BL5597766027,11913.19,successful,2024-08-27
BL4874156511,42943.8,failed,2025-09-13
BL9431481198,36578.21,successful,2025-01-15
BL3629079656,14054.96,successful,2025-10-23
BL9627118250,15261.39,failed,2024-08-08
BL6805617718,13301.28,successful,2025-05-27
BL2208969968,6911.77,successful,2024-04-01
BL9865241239,48105.25,successful,2025-12-10
BL8644177490,4948.48,successful,2025-04-16
BL7017253884,29360.52,failed,2024-04-04
BL5657089996,16326.75,failed,2024-01-25
BL8161250775,28128.0,successful,2024-11-27
BL0663552775,15518.34,successful,2024-08-04
BL9906734471,47076.23,successful,2024-01-05
BL0787309573,29015.46,failed,2025-07-18
BL3641395483,6534.69,successful,2024-03-14
BL6258300502,18898.32,successful,2025-08-18
BL0565312628,48283.27,successful,2025-10-07
BL4389018213,26849.08,successful,2025-10-10
BL9115375959,49863.39,failed,2024-10-27
BL8617484724,48621.75,successful,2024-10-07
BL2213497377,14358.84,successful,2025-02-03
BL6022377149,49455.63,successful,2024-03-24
BL9899180444,47871.14,pending,2024-09-09
BL6051554360,19046.74,successful,2024-08-19
BL9730429285,24746.23,successful,2025-10-11
BL9735358652,32718.8,successful,2024-09-11
BL5879314056,14425.83,successful,2025-09-18
BL4791016721,17453.72,successful,2024-04-15
BL1859270822,9505.17,successful,2025-02-21
BL0751412374,41487.37,successful,2025-07-03
BL7036068886,48107.67,successful,2024-10-19
BL2850341749,5020.55,successful,2025-08-08
BL1468515489,49517.14,failed,2025-05-23
BL8785203369,38003.33,successful,2025-04-26
BL0448299196,45073.52,successful,2024-10-21
BL9568713136,41949.87,successful,2025-03-14
BL0904515038,38631.15,successful,2025-08-20
BL6351522412,9450.85,successful,2024-07-10
BL6421775691,12212.85,successful,2025-03-06
BL4086941427,15777.75,failed,2024-01-06
BL8459735638,8400.29,successful,2024-11-07
BL2613012723,22677.11,successful,2024-01-20
BL8402691771,20311.87,successful,2024-02-04
BL9307403676,26890.76,successful,2025-05-12
BL3825841700,14942.5,successful,2024-06-02
BL8229566217,27201.0,successful,2024-03-05
BL0488594117,13773.57,successful,2025-05-01
BL2774727398,43737.42,successful,2025-06-24
BL1955924320,41143.09,failed,2024-03-07
BL7418157176,18070.18,successful,2024-10-15
BL3364413338,9030.15,successful,2025-03-16
BL8484033590,21048.81,failed,2024-01-05
BL5777509932,40463.47,successful,2025-10-01
